row,spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
52,0,1,1,2,0,1/2/2012 13:24,0,0,0,no,0,0,0,8.718,185,0,1,0,0,3,small
53,0,0,1,0,0,1/2/2012 13:55,0,0,0,no,0,0,0,1.482,24,1,0,0,0,0,none
54,0,0,1,7,0,1/2/2012 16:07,0,0,0,no,0,0,0,0.334,9,0,1,0,0,0,small
55,0,0,1,0,0,1/2/2012 17:07,0,0,0,no,0,0,0,14.431,296,1,0,0,0,0,small
56,0,0,1,0,0,1/2/2012 19:07,0,0,8,no,0,0,0,24.167,417,1,0,1,0,32,small
57,0,0,1,0,0,1/2/2012 19:30,0,0,0,yes,0,0,0,0.356,11,0,0,0,0,0,none
58,0,0,1,0,0,1/2/2012 19:37,0,0,0,no,0,0,0,8.549,154,1,0,0,0,4,small
59,1,0,1,0,0,1/2/2012 19:54,0,0,0,no,0,0,0,4.174,2,0,0,0,0,0,none
60,0,0,1,0,0,1/2/2012 20:31,0,0,0,no,0,0,2,1.143,13,0,0,0,0,1,none
61,0,0,1,0,1,1/2/2012 20:34,0,0,6,no,0,0,0,9.535,182,1,1,0,0,4,small
62,1,0,1,0,0,1/2/2012 21:28,0,0,0,no,0,0,0,1.162,2,0,0,0,0,0,none
63,0,0,1,0,1,1/2/2012 21:31,0,0,6,no,0,0,0,14.241,308,1,1,0,0,6,small
64,0,0,1,0,0,1/2/2012 21:41,0,0,5,no,0,0,0,0.978,13,0,0,0,0,0,small
65,1,0,1,0,0,1/2/2012 22:20,0,0,1,no,1,0,0,2.024,41,0,0,0,0,0,small
66,0,0,1,0,1,1/3/2012 1:29,0,0,0,no,0,0,0,1.398,41,0,0,0,0,1,none
67,0,0,1,0,0,1/3/2012 1:34,0,0,11,no,0,0,0,15.517,350,1,0,1,0,2,small
68,0,0,1,0,0,1/3/2012 2:23,0,0,0,no,0,0,0,10.09,166,1,0,0,0,1,small
69,0,0,1,0,0,1/3/2012 3:14,0,0,0,no,0,0,1,0.978,14,0,0,0,0,0,small
70,1,0,1,0,0,1/3/2012 5:17,0,0,0,no,0,0,0,62.854,1190,1,0,0,0,12,big
71,0,0,1,0,0,1/3/2012 5:33,0,0,18,no,0,0,0,29.981,555,1,0,0,0,15,small
72,0,1,1,0,0,1/3/2012 5:36,0,0,0,no,0,0,0,5.159,95,0,0,0,0,0,small
73,0,0,1,0,0,1/3/2012 5:48,0,0,16,no,0,0,0,18.945,249,1,0,1,0,16,small
74,0,0,1,0,0,1/3/2012 6:20,0,0,0,no,0,0,0,7.472,207,1,0,0,0,0,big
75,0,0,1,0,1,1/3/2012 6:38,0,0,0,no,0,0,0,15.42,595,1,0,0,0,9,big
76,0,0,1,0,0,1/3/2012 8:02,0,0,4,no,1,0,0,7.792,192,1,0,0,0,6,small
77,0,1,1,0,1,1/3/2012 8:18,0,0,0,yes,0,0,0,4.77,134,1,1,0,0,10,small
78,0,0,1,0,1,1/3/2012 8:36,0,0,0,no,0,0,0,0.159,11,0,1,0,0,0,small
79,0,0,1,0,0,1/3/2012 9:41,0,0,2,no,0,0,0,22.393,411,1,0,0,0,49,small
80,1,0,1,0,0,1/3/2012 10:15,0,0,0,no,0,0,0,20.121,364,1,0,0,0,8,small
81,0,0,1,0,0,1/3/2012 10:45,0,0,2,no,0,0,0,7.844,142,1,0,1,0,6,small
82,0,0,1,0,1,1/3/2012 11:19,0,0,0,no,0,0,0,0.599,16,1,0,0,0,0,none
83,1,1,1,0,0,1/3/2012 11:33,0,0,0,no,0,0,0,0.443,13,0,0,0,0,0,small
84,0,0,1,0,0,1/3/2012 11:33,0,0,0,no,0,0,0,0.795,30,0,0,0,0,1,none
85,0,0,1,1,1,1/3/2012 11:39,0,0,0,no,0,0,8,4.945,120,1,0,0,0,2,small
86,0,0,1,0,0,1/3/2012 11:51,0,0,2,no,0,0,0,4.103,173,1,0,0,0,0,small
87,0,0,1,2,0,1/3/2012 11:55,0,0,0,no,0,0,0,0.829,22,0,0,0,0,0,small
88,0,0,1,0,1,1/3/2012 12:32,0,0,0,no,0,0,0,0.432,13,1,0,0,0,0,small
89,0,1,1,0,1,1/3/2012 12:57,0,0,0,no,0,0,0,0.64,19,1,0,0,0,0,none
90,0,0,1,0,1,1/3/2012 12:59,0,0,0,no,0,0,0,1.732,54,1,1,0,0,0,small
91,0,1,1,0,0,1/3/2012 13:14,0,1,0,no,0,0,0,8.596,159,1,0,0,0,0,small
92,0,0,1,0,0,1/3/2012 13:48,0,0,0,no,0,0,0,2.938,81,1,1,0,0,4,small
93,0,0,1,0,1,1/3/2012 14:01,0,0,0,no,0,0,0,0.988,25,1,0,0,0,2,small
94,0,0,1,3,0,1/3/2012 14:19,0,1,0,no,0,0,0,3.485,108,0,1,0,0,0,small
95,0,1,1,1,0,1/3/2012 14:34,0,0,0,no,0,0,0,4.512,107,1,0,0,0,0,small
96,0,0,1,0,0,1/3/2012 14:40,1,1,9,no,0,0,0,4.761,151,1,0,0,0,1,big
97,0,1,1,0,1,1/3/2012 16:01,0,0,0,no,0,0,0,1.389,37,1,0,1,0,8,small
98,0,0,1,0,0,1/3/2012 16:06,0,0,0,no,0,0,0,4.04,76,1,0,0,0,4,small
99,0,0,1,1,1,1/3/2012 16:36,0,0,0,no,0,0,0,1.401,41,1,1,0,0,0,small
100,0,0,1,3,1,1/3/2012 16:38,0,0,0,no,0,0,0,9.273,248,1,1,0,0,0,small
101,0,0,1,0,0,1/3/2012 16:40,0,0,0,no,0,0,2,89.27,1582,1,0,0,0,139,big
102,0,0,1,0,1,1/3/2012 16:40,0,0,0,no,0,0,0,2.828,80,1,1,0,0,4,small
103,0,0,1,0,0,1/3/2012 17:44,0,0,21,no,0,0,0,16.615,557,1,0,0,0,3,small
104,0,0,1,0,0,1/3/2012 19:13,0,0,0,no,0,0,0,8.756,145,1,0,0,0,1,small
105,0,0,1,2,1,1/3/2012 19:21,1,1,0,no,0,0,0,0.623,17,1,1,0,0,4,big
106,0,0,1,1,1,1/3/2012 19:45,0,0,0,no,0,0,0,1.132,33,1,1,0,0,4,small
107,0,0,1,1,1,1/3/2012 20:11,0,0,0,no,0,0,0,2.753,68,1,1,1,0,16,small
108,0,0,1,0,1,1/3/2012 20:34,0,0,2,no,0,0,0,6.133,143,1,1,0,0,0,small
109,0,0,1,0,1,1/3/2012 21:22,0,0,0,no,0,0,0,1.589,38,1,1,0,0,0,small
110,1,0,1,0,0,1/3/2012 21:29,0,0,0,no,0,0,0,5.108,91,1,0,0,0,1,small
111,0,0,1,0,0,1/3/2012 22:07,0,0,6,no,0,0,0,8.475,279,1,0,0,0,2,small
112,0,0,1,0,1,1/3/2012 22:09,0,0,0,no,0,0,0,0.932,21,1,0,0,0,2,none
113,0,0,1,0,0,1/4/2012 2:36,0,0,0,no,0,0,0,1.009,15,1,0,0,0,2,small
114,0,0,1,0,1,1/4/2012 5:03,0,0,0,no,0,0,0,16.51,394,1,1,0,0,8,small
115,0,0,1,0,1,1/4/2012 5:03,0,1,0,no,0,0,0,0.347,18,0,0,0,0,0,small
116,0,0,1,0,0,1/4/2012 5:15,0,0,0,no,0,0,0,6.717,114,1,0,0,0,1,small
117,0,0,1,0,0,1/4/2012 5:16,0,0,20,no,0,0,0,17.405,233,1,0,0,0,18,small
118,0,0,1,0,1,1/4/2012 5:19,0,0,0,no,0,0,0,21.705,551,1,1,0,0,8,small
119,0,0,1,0,0,1/4/2012 5:21,0,0,0,no,0,0,0,10.952,309,1,0,0,0,3,big
120,0,1,1,1,0,1/4/2012 5:24,0,0,0,no,0,0,0,2.927,74,0,1,0,0,1,small
121,0,1,1,0,1,1/4/2012 5:31,0,0,2,no,0,0,0,2.404,75,1,0,0,0,4,small
122,0,0,1,6,1,1/4/2012 5:39,0,0,2,no,0,0,0,4.373,120,1,1,0,0,7,small
123,0,0,1,0,1,1/4/2012 5:40,0,0,0,no,0,0,0,27.071,721,1,1,0,0,10,small
124,0,0,1,0,0,1/4/2012 6:01,0,0,0,no,0,0,0,3.621,82,1,0,0,0,0,small
125,0,1,1,1,0,1/4/2012 6:09,0,0,0,no,0,0,0,15.038,297,1,1,0,0,4,big
126,0,1,1,4,0,1/4/2012 7:04,0,0,0,no,0,0,0,4.337,94,0,1,0,0,1,small
127,0,0,1,0,1,1/4/2012 7:10,0,0,0,no,0,0,0,31.112,875,1,1,0,0,16,small
128,0,0,1,5,0,1/4/2012 7:20,0,0,0,no,0,0,0,4.736,109,0,1,0,0,2,small
129,1,0,1,4,0,1/4/2012 7:36,0,2,0,no,0,0,0,0.631,28,0,0,0,0,2,none
130,0,0,1,0,0,1/4/2012 8:01,0,0,0,no,0,0,0,3.215,183,1,0,0,0,0,big
131,0,0,1,1,0,1/4/2012 8:58,0,0,0,no,0,0,0,6.056,141,0,1,0,0,3,small
132,0,0,1,0,1,1/4/2012 9:15,0,0,0,no,0,0,0,7.193,148,1,1,0,0,10,small
133,0,0,1,0,0,1/4/2012 9:49,0,0,0,no,0,0,0,2.454,61,0,0,0,0,1,small
134,0,0,1,0,0,1/4/2012 9:51,0,1,0,no,0,0,0,10.398,130,1,0,0,0,2,small
135,0,0,1,0,0,1/4/2012 9:54,0,0,0,no,0,0,0,1.653,25,1,0,0,0,0,small
136,0,0,1,2,1,1/4/2012 10:16,0,0,0,no,0,0,0,6.264,135,1,1,0,0,4,big
137,0,0,1,0,0,1/4/2012 10:27,0,0,0,no,0,0,0,15.829,242,1,0,0,0,4,small
138,0,0,1,0,1,1/4/2012 10:49,0,0,0,no,0,0,0,12.862,333,1,1,0,0,4,small
139,1,0,1,0,0,1/4/2012 10:55,0,0,1,yes,0,0,0,0.963,37,0,1,0,0,0,none
140,0,0,1,0,1,1/4/2012 11:17,0,0,0,no,0,0,0,17.06,426,1,1,0,0,8,small
141,0,0,1,0,0,1/4/2012 11:24,0,0,0,no,0,0,0,1.384,27,1,0,0,0,2,small
142,0,1,1,0,1,1/4/2012 11:27,0,0,0,no,0,0,0,5.887,89,0,0,0,0,0,small
143,1,0,1,0,0,1/4/2012 11:38,0,0,2,no,0,0,0,2.182,46,0,0,1,0,0,small
144,0,0,1,0,0,1/4/2012 12:19,0,0,0,no,0,0,0,23.172,456,1,0,0,0,57,small
145,0,0,1,0,0,1/4/2012 12:45,0,0,0,no,0,0,0,3.416,57,1,0,0,0,0,big
146,0,0,1,0,0,1/4/2012 12:48,0,0,0,no,0,0,0,8.544,172,1,0,0,0,2,big
147,0,0,1,0,1,1/4/2012 12:50,0,0,8,no,0,0,0,11.615,210,1,1,0,0,4,small
148,0,0,1,0,1,1/4/2012 13:03,0,0,0,no,0,0,0,4.995,130,1,1,0,0,8,small
149,0,0,1,0,1,1/4/2012 13:23,0,0,0,no,0,0,0,44.591,1307,1,0,0,0,36,big
150,0,1,1,0,0,1/4/2012 13:49,0,0,0,no,0,0,0,8.347,202,1,0,0,0,5,big
151,0,0,1,0,1,1/4/2012 14:37,0,0,0,no,0,0,0,9.374,252,1,1,0,0,2,big
152,0,0,1,0,0,1/4/2012 15:05,0,0,7,no,0,0,0,10.996,213,1,0,0,0,5,big
153,1,0,1,0,0,1/4/2012 15:19,0,0,0,yes,0,0,0,33.809,549,1,0,0,0,28,small
154,1,0,0,0,0,1/4/2012 15:19,0,0,0,no,0,0,0,3.543,21,1,0,0,0,1,small
155,0,1,1,0,0,1/4/2012 15:31,0,0,0,no,0,0,0,9.816,130,0,0,0,0,0,small
156,0,0,1,1,1,1/4/2012 16:10,0,0,0,no,0,0,0,7.861,242,1,1,0,0,7,small
157,0,0,1,4,1,1/4/2012 16:42,0,0,2,no,0,0,0,4.01,118,1,1,0,0,6,small
158,0,0,1,1,1,1/4/2012 16:58,0,0,0,no,0,0,0,0.958,20,1,0,1,0,4,none
159,0,0,1,0,0,1/4/2012 17:59,0,0,4,no,0,0,0,1.041,31,0,0,0,0,2,small
160,0,0,1,0,0,1/4/2012 18:00,0,0,0,no,0,0,0,6.39,154,1,0,1,0,0,none
161,0,0,1,0,0,1/4/2012 18:03,0,0,4,no,0,0,0,1.041,31,0,0,0,0,2,small
162,0,0,1,0,0,1/4/2012 18:04,0,0,5,no,0,0,1,17.853,345,1,0,1,0,18,small
163,0,0,1,0,0,1/4/2012 18:04,0,0,5,no,0,0,1,17.853,345,1,0,1,0,18,small
164,0,0,1,0,0,1/4/2012 18:20,0,0,0,no,0,0,0,24.202,680,1,0,0,0,4,small
165,0,1,1,0,1,1/4/2012 20:22,20,20,0,no,0,0,0,21.634,691,1,0,0,0,15,big
166,0,1,1,0,1,1/4/2012 20:24,0,0,0,no,0,0,0,9.754,327,1,0,0,0,9,big
167,0,0,1,0,0,1/4/2012 20:29,0,0,22,no,0,0,0,20.191,266,1,0,1,0,30,small
168,1,0,1,0,0,1/4/2012 22:13,0,0,0,no,0,0,0,0.275,15,0,0,1,0,0,none
169,0,0,1,0,0,1/5/2012 0:27,0,0,0,no,0,0,2,10.366,198,1,0,0,0,1,big
170,0,0,1,0,0,1/5/2012 1:41,0,0,0,no,0,0,0,13.437,255,1,0,0,0,45,small
171,1,0,1,0,0,1/5/2012 4:20,0,0,2,no,0,8,0,0.597,9,1,0,1,0,4,small
172,0,0,1,0,0,1/5/2012 4:25,0,0,0,no,0,0,0,6.19,126,1,0,0,0,0,small
173,0,0,1,0,1,1/5/2012 5:38,0,0,0,no,0,0,0,3.186,67,1,1,0,0,0,small
174,0,1,1,0,1,1/5/2012 5:56,0,0,0,no,0,0,0,17.835,568,1,1,0,0,11,big
175,0,0,1,7,1,1/5/2012 6:25,0,0,0,no,0,0,0,9.871,340,1,0,0,0,11,big
176,0,1,1,0,0,1/5/2012 7:01,1,1,0,no,0,0,0,5.159,82,0,0,0,0,0,small
177,0,0,1,0,1,1/5/2012 7:21,0,0,0,no,0,0,0,3.492,75,1,1,0,0,2,small
178,0,0,1,0,0,1/5/2012 7:44,0,0,0,no,0,0,0,8.768,152,1,0,0,0,4,small
179,0,0,1,0,0,1/5/2012 8:06,0,0,4,no,1,0,0,7.764,192,1,0,0,0,6,small
180,0,1,1,0,1,1/5/2012 8:24,0,0,0,no,0,0,0,2.71,74,1,0,0,0,0,small
181,0,0,1,6,0,1/5/2012 8:47,0,0,0,no,0,0,0,14.345,303,1,1,0,0,4,big
182,0,0,1,0,1,1/5/2012 9:24,0,0,0,no,0,0,0,0.342,11,0,1,0,0,0,small
183,0,0,1,0,1,1/5/2012 10:12,0,0,0,no,0,0,0,6.64,99,0,1,0,0,3,small
184,0,0,1,0,0,1/5/2012 10:32,0,0,8,no,0,0,0,10.366,177,1,0,1,0,12,small
185,0,0,1,0,1,1/5/2012 11:07,0,0,0,no,0,0,0,12.374,190,0,1,0,0,5,small
186,0,0,1,0,1,1/5/2012 11:09,0,0,0,no,0,0,0,16.689,254,0,1,0,0,5,small
187,0,0,1,1,1,1/5/2012 11:49,0,0,0,no,0,0,0,3.231,91,1,1,0,0,0,small
188,0,1,1,35,0,1/5/2012 12:04,0,0,0,no,0,0,0,4.462,85,0,0,0,0,0,small
189,0,0,1,0,0,1/5/2012 12:15,0,0,0,no,0,0,2,1.501,45,1,0,0,0,1,small
190,0,0,1,1,1,1/5/2012 12:34,0,0,0,no,0,0,0,33.748,815,1,1,0,0,71,big
191,0,1,1,0,0,1/5/2012 13:03,0,0,0,no,0,0,0,2.93,45,0,0,1,0,3,small
192,0,1,1,0,0,1/5/2012 13:04,0,0,0,no,0,0,0,8.014,113,0,0,0,0,0,small
193,0,0,1,0,0,1/5/2012 13:06,0,0,6,no,0,0,0,1.594,51,0,0,1,0,0,small
194,0,0,1,0,0,1/5/2012 13:19,0,0,2,no,0,0,0,26.777,435,1,0,1,0,7,small
195,0,1,1,0,0,1/5/2012 13:28,0,0,0,no,0,0,0,2.881,50,0,0,0,0,0,small
196,0,0,1,0,0,1/5/2012 13:42,0,0,0,no,0,0,0,3.717,72,1,0,0,0,0,small
197,0,0,1,0,0,1/5/2012 14:00,0,0,8,no,0,0,0,101.727,2189,1,0,0,0,23,small
198,0,0,1,1,1,1/5/2012 14:19,0,0,0,no,0,0,0,4.823,135,1,1,0,0,0,small
199,1,0,1,0,0,1/5/2012 15:12,0,2,0,no,0,0,0,0.424,22,0,0,0,0,0,none
200,0,1,1,0,1,1/5/2012 15:51,0,1,0,no,0,0,0,5.834,127,1,0,0,0,5,small
201,0,0,1,0,1,1/5/2012 17:23,0,0,2,no,0,0,0,3.21,77,1,1,0,0,0,small
202,0,0,1,1,1,1/5/2012 17:41,0,0,0,no,0,0,0,3.334,73,1,1,1,0,12,small
203,0,0,1,0,0,1/5/2012 19:00,0,0,0,no,0,0,0,17.292,390,1,0,0,0,29,small
204,0,0,1,0,0,1/5/2012 19:08,0,0,0,no,0,0,0,10.004,197,1,0,0,0,0,big
205,0,0,1,0,0,1/5/2012 20:00,0,0,0,no,0,0,2,10.366,198,1,0,0,0,1,big
206,0,0,1,0,0,1/5/2012 21:29,0,0,12,no,0,0,0,14.221,201,1,0,0,0,24,small
207,0,0,1,0,0,1/6/2012 1:42,0,0,0,no,0,0,0,13.484,255,1,0,0,0,45,small
208,0,0,1,0,0,1/6/2012 1:58,1,1,0,no,0,0,0,7.974,104,0,0,0,0,0,none
209,0,0,1,0,0,1/6/2012 5:22,0,0,0,no,0,0,0,4.792,104,1,0,0,0,0,small
210,0,0,1,0,0,1/6/2012 5:49,0,0,4,no,0,0,0,49.042,828,1,0,0,0,1,small
211,0,1,1,0,0,1/6/2012 6:45,0,0,0,no,0,0,0,3.943,47,0,0,0,0,0,small
212,0,0,1,0,0,1/6/2012 7:57,0,0,0,no,0,0,0,5.066,106,1,0,1,0,0,small
213,0,0,1,0,0,1/6/2012 8:03,0,0,4,no,1,0,0,7.734,192,1,0,0,0,6,small
214,0,0,1,0,0,1/6/2012 8:28,0,0,2,no,0,0,0,22.344,411,1,0,0,0,49,small
215,0,0,1,0,0,1/6/2012 9:53,0,0,10,no,0,0,0,8.666,145,1,0,1,0,8,small
216,1,0,1,0,0,1/6/2012 10:34,0,0,0,no,0,0,0,1.822,48,0,0,0,0,0,small
217,1,0,1,0,0,1/6/2012 10:34,0,0,0,no,0,0,0,0.001,1,0,0,0,0,0,none
218,0,1,1,35,0,1/6/2012 10:47,0,0,0,no,0,0,0,5.223,91,0,0,0,0,0,small
219,0,0,1,0,0,1/6/2012 11:41,0,0,0,no,0,0,0,3.872,89,1,0,0,0,0,big
220,0,1,1,0,0,1/6/2012 12:14,0,0,0,no,0,0,0,4.415,61,0,0,0,0,1,small
221,0,0,1,0,1,1/6/2012 13:09,0,0,0,no,0,0,0,2.174,49,1,1,0,0,2,small
222,0,0,1,0,1,1/6/2012 13:10,0,0,0,no,0,0,0,0.368,12,1,0,0,0,0,small
223,0,0,1,0,1,1/6/2012 13:18,0,0,0,no,0,0,0,1.567,48,1,1,0,0,0,small
224,0,0,1,0,1,1/6/2012 13:19,0,0,0,no,0,0,0,1.16,34,1,1,0,0,0,small
225,0,0,1,0,0,1/6/2012 13:22,0,0,0,no,0,0,2,10.366,198,1,0,0,0,1,big
226,0,0,1,0,1,1/6/2012 13:36,0,0,0,no,0,0,0,0.441,16,1,1,0,0,0,small
227,0,0,1,0,1,1/6/2012 13:40,0,0,0,no,0,0,0,0.122,7,0,1,0,0,0,small
228,0,1,1,0,0,1/6/2012 14:14,0,0,0,no,0,0,0,9.961,210,1,0,0,0,0,big
229,0,0,1,0,0,1/6/2012 14:50,0,0,0,no,0,0,0,3.243,37,1,0,0,0,1,small
230,1,0,1,0,0,1/6/2012 14:55,0,0,1,no,0,0,0,0.468,17,0,0,0,0,0,big
231,0,0,1,0,0,1/6/2012 15:29,0,0,0,no,0,0,0,33.63,375,1,0,0,0,8,small
232,0,0,1,0,0,1/6/2012 17:41,0,0,0,no,0,0,0,8.763,145,1,0,0,0,3,small
233,0,0,1,0,0,1/6/2012 18:21,0,0,0,no,0,0,0,3.271,64,1,0,0,0,4,none
234,1,0,1,0,0,1/6/2012 19:47,0,0,1,no,0,0,0,1.046,26,1,0,0,0,1,small
235,1,0,1,0,0,1/7/2012 3:55,0,0,0,no,0,0,0,4.162,2,0,0,0,0,0,none
236,0,0,1,0,0,1/7/2012 4:32,0,0,0,no,0,0,0,6.724,114,1,0,0,0,1,small
237,0,0,1,0,0,1/7/2012 4:44,0,0,0,no,0,0,0,9.635,164,1,0,0,0,1,small
238,0,0,1,0,0,1/7/2012 5:18,0,0,0,no,0,0,0,8.535,208,1,0,0,0,0,small
239,0,0,1,0,0,1/7/2012 5:21,0,0,0,no,0,0,0,16.043,256,1,0,0,0,1,small
240,0,0,1,0,0,1/7/2012 5:28,0,0,0,no,0,0,0,7.515,126,1,0,0,0,1,small
241,0,0,1,0,0,1/7/2012 5:39,0,0,0,no,0,0,0,16.022,255,1,0,0,0,1,small
242,0,0,1,0,1,1/7/2012 5:57,0,0,4,no,0,0,0,2.088,29,1,0,0,0,0,big
243,0,1,1,0,1,1/7/2012 6:38,1,1,0,no,0,0,0,7.335,251,1,0,0,0,6,big
244,0,0,1,0,0,1/7/2012 6:51,0,0,0,no,0,0,0,6.832,116,1,0,0,0,1,small
245,0,0,1,0,1,1/7/2012 7:15,0,0,4,no,0,0,0,4.607,84,1,1,0,0,2,big
246,0,0,1,0,1,1/7/2012 7:17,0,0,0,no,0,0,0,0.789,22,0,1,0,0,0,small
247,0,1,1,0,0,1/7/2012 7:20,0,0,0,no,0,0,0,5.339,95,1,0,0,0,4,big
248,0,0,1,0,0,1/7/2012 8:00,0,0,8,no,1,0,0,10.017,238,1,0,0,0,7,small
249,0,0,1,0,0,1/7/2012 8:06,0,0,0,no,0,0,0,6.846,116,1,0,0,0,1,small
250,1,0,1,4,0,1/7/2012 8:11,0,2,0,no,0,0,0,0.56,24,0,0,0,0,1,none
251,0,0,1,0,0,1/7/2012 8:32,0,0,0,no,0,0,0,15.909,254,1,0,0,0,1,small
